EN1 7_49_10_68 
EN2482 2_54_1_8 
EN2483 10_122_10_39 
EN2484 12_32_14_84 
EN2485 2_5_2_106 
EN2486 8_3_8_59 
EN2487 4_43_5_22 
EN2488 15_18_15_31 
EN2489 1_11_1_14 
EN2490 8_26_2_14 
EN2491 4_57_4_21 
EN2492 8_55_8_56 
EN2493 16_9_16_16 
EN2494 10_48_4_20 
EN2495 1_9_1_20 
EN2496 6_86_6_80 
EN2497 11_79_3_52 
EN2498 14_4_14_46 
EN2499 8_50_5_39 
EN2500 3_70_5_10 
EN2501 10_11_8_6 
EN2502 16_28_16_15 
EN2503 4_12_8_60 
EN2504 7_41_1_6 
EN2505 11_70_11_9 
EN2506 5_24_4_30 
EN2507 1_44_1_10 
EN2508 9_5_13_6 
EN2509 4_77_7_66 
EN2510 2_1_16_31 
EN2511 10_49_10_43 
EN2512 5_33_6_28 
EN2513 4_11_4_45 
EN2514 12_11_12_14 
EN2515 4_40_4_80 
EN2516 3_3_10_101 
EN2517 9_10_15_34 
EN2518 15_15_9_42 
EN2519 14_80_9_5 
EN2520 2_62_9_47 
EN2521 13_19_13_88 
EN2522 15_12_15_6 
EN2523 2_51_2_21 
EN2524 13_17_11_32 
EN2525 13_69_12_37 
EN2526 2_152_16_38 
EN2527 2_114_2_49 
EN2528 5_35_5_4 
EN2529 2_66_15_15 
EN2530 3_36_15_35 
EN2531 5_25_6_89 
EN2532 6_62_6_118 
EN2533 9_31_7_52 
EN2534 10_100_16_27 
EN2535 15_5_16_25 
EN2536 7_23_6_82 
EN2537 14_84_14_104 
EN2538 8_4_8_60 
EN2539 1_31_1_35 
EN2540 1_9_11_55 
EN2541 13_43_15_38 
EN2542 13_67_3_48 
EN2543 11_17_11_11 
EN2544 15_2_15_13 
EN2545 10_107_2_81 
EN2546 4_6_4_36 
EN2547 3_66_3_22 
EN2548 11_39_15_15 
EN2549 16_10_14_112 
EN2550 11_47_9_38 
EN2551 9_44_9_30 
EN2552 2_107_1_7 
EN2553 1_16_4_75 
EN2554 3_16_3_44 
EN2555 13_39_10_1 
EN2556 13_43_3_42 
EN2557 9_34_2_88 
EN2558 10_22_11_67 
EN2559 2_99_2_62 
EN2560 5_16_15_31 
EN2561 8_55_8_36 
EN2562 5_8_5_15 
EN2563 15_6_6_70 
EN2564 2_83_1_39 
EN2565 10_38_1_28 
EN2566 4_42_5_22 
EN2567 13_66_6_27 
EN2568 3_59_9_36 
EN2569 15_2_15_32 
EN2570 14_24_16_4 
EN2571 15_19_1_31 
EN2572 1_37_3_2 
EN2573 2_156_6_116 
EN2574 7_46_1_23 
EN2575 4_66_4_40 
EN2576 6_59_6_127 
EN2577 8_20_3_38 
EN2578 11_39_8_55 
EN2579 10_78_10_81 
EN2580 14_75_14_12 
EN2581 3_60_3_24 
EN2582 6_63_6_27 
EN2583 7_52_7_20 
EN2584 15_11_12_19 
EN2585 11_23_11_30 
EN2586 7_31_7_60 
EN2587 5_22_5_29 
EN2588 14_19_13_59 
EN2589 11_48_7_11 
EN2590 1_17_1_47 
EN2591 1_5_7_77 
EN2592 10_88_14_75 
EN2593 2_148_3_29 
EN2594 16_8_16_28 
EN2595 3_13_3_17 
EN2596 12_48_12_9 
EN2597 11_15_1_17 
EN2598 10_21_2_155 
EN2599 10_2_8_43 
EN2600 2_13_2_137 
EN2601 12_23_12_76 
EN2602 12_61_10_89 
EN2603 6_97_9_17 
EN2604 10_103_10_86 
EN2605 9_46_16_40 
EN2606 12_27_8_7 
EN2607 5_17_16_24 
EN2608 5_17_13_88 
EN2609 1_21_7_10 
EN2610 11_53_11_20 
EN2611 4_42_4_18 
EN2612 7_3_7_51 
EN2613 5_7_5_19 
EN2614 8_53_5_16 
EN2615 15_10_15_32 
EN2616 6_64_2_143 
EN2617 13_29_13_23 
EN2618 16_32_16_9 
EN2619 7_63_7_16 
EN2620 1_42_11_6 
EN2621 15_18_15_27 
EN2622 6_101_10_90 
EN2623 6_84_10_23 
EN2624 3_71_3_33 
EN2625 15_20_15_37 
EN2626 6_84_6_57 
EN2627 3_60_1_38 
EN2628 1_15_11_7 
EN2629 1_9_3_5 
EN2630 7_2_7_25 
EN2631 14_109_14_35 
EN2632 12_10_10_30 
EN2633 13_39_13_11 
EN2634 14_14_14_57 
EN2635 8_6_4_1 
EN2636 14_58_14_16 
EN2637 16_15_16_24 
EN2638 3_68_3_25 
EN2639 2_134_2_18 
EN2640 6_128_6_28 
EN2641 1_44_15_10 
EN2642 16_23_10_117 
EN2643 4_41_4_73 
EN2644 4_53_4_1 
EN2645 3_71_10_40 
EN2646 4_48_5_39 
EN2647 8_27_4_7 
EN2648 16_10_16_8 
EN2649 7_15_5_26 
EN2650 8_17_3_62 
EN2651 11_18_8_53 
EN2652 7_67_5_39 
EN2653 3_35_8_55 
EN2654 4_32_4_7 
EN2655 11_18_13_73 
EN2656 1_11_7_31 
EN2657 11_67_10_85 
EN2658 2_124_2_123 
EN2659 11_61_11_67 
EN2660 6_123_1_44 
EN2661 7_55_9_36 
EN2662 15_24_16_10 
EN2663 5_25_14_67 
EN2664 1_38_1_20 
EN2665 1_35_1_29 
EN2666 1_43_1_23 
EN2667 13_7_7_39 
EN2668 4_65_12_54 
EN2669 1_18_13_93 
EN2670 7_16_8_39 
EN2671 6_95_6_30 
EN2672 6_68_6_85 
EN2673 12_29_12_27 
EN2674 4_27_3_11 
EN2675 13_7_8_46 
EN2676 2_1_2_163 
EN2677 9_34_9_15 
EN2678 3_65_3_36 
EN2679 14_12_14_100 
EN2680 5_31_5_14 
EN2681 12_19_16_3 
EN2682 14_55_15_15 
EN2683 1_36_10_122 
EN2684 4_40_4_76 
EN2685 7_14_7_54 
EN2686 13_62_15_10 
EN2687 11_56_16_38 
EN2688 14_77_14_62 
EN2689 4_72_4_54 
EN2690 14_96_14_84 
EN2691 3_41_10_106 
EN2692 5_26_16_13 
EN2693 15_22_15_4 
EN2694 14_77_14_5 
EN2695 3_54_5_38 
EN2696 13_1_7_23 
EN2697 12_73_12_5 
EN2698 3_19_3_58 
EN2699 9_57_14_106 
EN2700 5_36_16_21 
EN2701 1_9_16_36 
EN2702 4_12_4_65 
EN2703 4_79_4_19 
EN2704 2_92_3_41 
EN2705 15_35_12_54 
EN2706 11_26_13_88 
EN2707 11_29_10_66 
EN2708 13_4_13_3 
EN2709 2_111_2_130 
EN2710 11_69_4_73 
EN2711 10_41_10_30 
EN2712 2_111_2_84 
EN2713 13_35_13_60 
EN2714 2_140_6_99 
EN2715 2_123_2_36 
EN2716 1_27_2_42 
EN2717 14_40_14_90 
EN2718 7_22_7_59 
EN2719 15_11_15_26 
EN2720 11_24_2_24 
EN2721 3_21_3_1 
EN2722 8_46_8_22 
EN2723 16_42_8_61 
EN2724 4_57_9_9 
EN2725 11_7_11_61 
EN2726 15_28_15_9 
EN2727 7_19_14_106 
EN2728 11_29_11_49 
EN2729 1_7_1_15 
EN2730 9_50_13_73 
EN2731 14_108_14_48 
EN2732 1_46_5_4 
EN2733 16_35_16_7 
EN2734 8_1_8_28 
EN2735 3_11_3_61 
EN2736 7_63_7_67 
EN2737 8_9_8_59 
EN2738 1_2_1_10 
EN2739 12_59_8_24 
EN2740 9_28_9_3 
EN2741 9_19_9_13 
EN2742 11_72_3_58 
EN2743 2_83_2_144 
EN2744 4_29_4_55 
EN2745 14_46_14_30 
EN2746 2_161_2_155 
EN2747 16_34_10_70 
EN2748 14_29_14_21 
EN2749 5_12_5_31 
EN2750 12_4_4_52 
EN2751 3_6_4_78 
EN2752 10_2_10_54 
EN2753 14_81_14_96 
EN2754 2_69_13_87 
EN2755 10_103_2_11 
EN2756 4_38_10_17 
EN2757 13_95_13_62 
EN2758 12_78_7_50 
EN2759 5_23_5_5 
EN2760 1_45_1_16 
EN2761 9_13_9_3 
EN2762 11_44_11_13 
EN2763 14_111_14_67 
EN2764 2_66_10_11 
EN2765 2_132_6_6 
EN2766 2_6_9_9 
EN2767 7_73_16_37 
EN2768 14_62_14_14 
EN2769 6_99_10_37 
EN2770 9_5_9_27 
EN2771 13_24_6_43 
EN2772 3_9_2_65 
EN2773 3_7_3_55 
EN2774 6_22_8_52 
EN2775 13_64_13_49 
EN2776 16_18_14_69 
EN2777 10_117_8_36 
EN2778 6_8_6_9 
EN2779 13_7_14_69 
EN2780 8_51_8_11 
EN2781 15_35_15_11 
EN2782 9_54_1_41 
EN2783 1_29_1_14 
EN2784 7_75_9_15 
EN2785 9_46_9_39 
EN2786 2_113_14_79 
EN2787 2_141_6_18 
EN2788 5_27_12_36 
EN2789 4_43_14_64 
EN2790 14_98_14_85 
EN2791 8_59_8_41 
EN2792 1_33_15_5 
EN2793 12_81_2_23 
EN2794 16_8_4_41 
EN2795 5_5_5_11 
EN2796 8_5_10_65 
EN2797 1_2_3_11 
EN2798 2_116_13_43 
EN2799 5_17_11_33 
EN2800 11_17_1_23 
EN2801 8_61_8_52 
EN2802 13_50_1_33 
EN2803 14_59_1_41 
EN2804 16_43_14_57 
EN2805 10_131_10_38 
EN2806 2_153_3_71 
EN2807 6_77_6_61 
EN2808 15_27_15_33 
EN2809 1_30_1_25 
EN2810 1_8_1_43 
EN2811 5_23_5_26 
EN2812 15_33_11_10 
EN2813 15_27_14_33 
EN2814 7_10_6_122 
EN2815 3_47_14_86 
EN2816 11_76_11_70 
EN2817 1_27_13_48 
EN2818 3_68_3_12 
EN2819 7_34_11_33 
EN2820 9_43_15_22 
EN2821 3_35_4_43 
EN2822 11_55_11_10 
EN2823 15_18_3_38 
EN2824 1_27_11_11 
EN2825 3_6_14_76 
EN2826 9_27_14_106 
EN2827 7_3_7_52 
EN2828 9_56_11_19 
EN2829 16_24_16_35 
EN2830 8_11_16_22 
EN2831 4_49_4_28 
EN2832 12_57_16_40 
EN2833 16_29_14_37 
EN2834 6_78_8_61 
EN2835 9_55_7_37 
EN2836 5_30_6_104 
EN2837 3_13_2_78 
EN2838 16_16_16_26 
EN2839 8_8_14_20 
EN2840 1_5_13_21 
EN2841 15_10_15_14 
EN2842 14_83_14_6 
EN2843 9_58_3_68 
EN2844 5_33_13_6 
EN2845 8_40_1_19 
EN2846 11_9_15_6 
EN2847 16_2_16_28 
EN2848 9_41_14_12 
EN2849 9_7_9_36 
EN2850 2_113_8_29 
EN2851 15_38_16_33 
EN2852 8_33_4_22 
EN2853 2_123_2_9 
EN2854 8_45_8_61 
EN2855 12_66_12_46 
EN2856 12_65_3_65 
EN2857 1_11_15_32 
EN2858 11_27_1_7 
EN2859 16_12_16_40 
EN2860 14_102_14_10 
EN2861 16_26_14_37 
EN2862 9_25_12_49 
EN2863 13_18_13_27 
EN2864 16_9_14_16 
EN2865 3_71_3_68 
EN2866 6_37_3_32 
EN2867 8_17_8_39 
EN2868 6_24_6_99 
EN2869 1_13_1_8 
EN2870 14_67_15_37 
EN2871 14_32_14_103 
EN2872 2_46_2_14 
EN2873 14_18_14_48 
EN2874 16_24_16_31 
EN2875 16_3_6_99 
EN2876 7_15_8_54 
EN2877 16_15_16_33 
EN2878 3_2_8_27 
EN2879 14_109_14_56 
EN2880 15_30_13_6 
EN2881 3_7_4_44 
EN2882 9_55_9_7 
EN2883 10_47_9_24 
EN2884 14_11_13_47 
EN2885 2_62_2_129 
EN2886 1_5_13_15 
EN2887 10_55_10_59 
EN2888 3_2_3_28 
EN2889 2_153_16_40 
EN2890 7_32_4_27 
EN2891 12_25_8_32 
EN2892 9_46_11_36 
EN2893 15_38_1_30 
EN2894 5_6_5_39 
EN2895 16_26_15_5 
EN2896 1_21_7_50 
EN2897 10_124_10_100 
EN2898 14_60_12_40 
EN2899 16_33_13_59 
EN2900 14_62_14_69 
EN2901 3_62_3_55 
EN2902 10_84_10_32 
EN2903 15_34_11_14 
EN2904 2_151_3_68 
EN2905 1_47_1_11 
EN2906 1_42_9_16 
EN2907 6_37_6_12 
EN2908 14_12_4_2 
EN2909 3_51_3_23 
EN2910 10_125_6_120 
EN2911 2_58_2_14 
EN2912 16_43_16_28 
EN2913 7_79_15_14 
EN2914 13_5_14_47 
EN2915 3_30_3_67 
EN2916 5_8_4_5 
EN2917 13_44_16_20 
EN2918 13_40_13_66 
EN2919 16_18_16_37 
EN2920 7_36_2_122 
EN2921 16_2_16_18 
EN2922 4_4_4_68 
EN2923 6_116_15_13 
EN2924 7_59_7_42 
EN2925 9_47_11_19 
EN2926 11_52_11_6 
EN2927 2_39_2_159 
EN2928 15_14_15_21 
EN2929 10_24_13_79 
EN2930 14_99_2_30 
EN2931 3_28_3_16 
EN2932 2_108_2_94 
EN2933 13_58_13_73 
EN2934 14_65_15_26 
EN2935 5_27_5_39 
EN2936 11_53_11_54 
EN2937 14_28_14_99 
EN2938 13_76_13_56 
EN2939 10_81_5_34 
EN2940 3_37_7_41 
EN2941 16_23_16_9 
EN2942 4_71_1_24 
EN2943 11_39_12_59 
EN2944 14_73_14_94 
EN2945 9_42_9_43 
EN2946 10_106_6_15 
EN2947 9_14_6_9 
EN2948 5_16_15_34 
EN2949 3_62_16_23 
EN2950 7_25_7_53 
EN2951 8_25_8_2 
EN2952 4_13_2_138 
EN2953 9_60_9_46 
EN2954 7_63_7_39 
EN2955 7_40_4_79 
EN2956 12_13_4_24 
EN2957 14_102_14_18 
EN2958 4_80_4_8 
EN2959 7_27_12_23 
EN2960 6_128_6_60 
EN2961 2_59_6_76 
EN2962 14_34_14_23 
EN2963 12_6_12_72 
EN2964 10_1_10_15 
EN2965 1_31_1_48 
EN2966 4_70_4_5 
EN2967 9_1_9_60 
EN2968 10_61_2_133 
EN2969 8_26_8_4 
EN2970 16_42_10_131 
EN2971 6_92_6_83 
EN2972 12_69_12_1 
EN2973 6_36_9_8 
EN2974 8_60_8_27 
EN2975 4_43_4_44 
EN2976 9_43_9_4 
EN2977 11_47_11_55 
EN2978 6_113_8_61 
EN2979 6_83_6_115 
EN2980 16_36_16_3 
EN2981 13_71_13_84 
EN2982 12_48_6_92 
EN2983 2_136_10_68 
EN2984 9_42_7_48 
EN2985 5_33_11_6 
EN2986 3_31_16_43 
EN2987 9_45_5_20 
EN2988 12_71_9_59 
EN2989 2_94_3_13 
EN2990 13_26_13_94 
EN2991 16_32_6_92 
EN2992 10_78_5_37 
EN2993 9_2_5_13 
EN2994 1_42_13_68 
EN2995 13_17_2_133 
EN2996 12_58_12_24 
EN2997 14_56_14_20 
EN2998 14_33_8_8 
EN2999 2_99_5_23 
EN3000 1_3_1_1 
EN3001 4_51_5_12 
EN3002 7_17_16_1 
EN3003 10_80_10_42 
EN3004 1_8_14_79 
EN3005 8_14_8_41 
EN3006 1_10_1_43 
EN3007 1_27_8_2 
EN3008 7_70_7_14 
EN3009 6_102_2_135 
EN3010 13_22_6_37 
EN3011 15_9_12_101 
EN3012 2_46_2_102 
EN3013 16_20_14_8 
EN3014 11_47_13_22 
EN3015 6_55_3_30 
EN3016 10_109_15_30 
EN3017 15_31_15_6 
EN3018 2_161_5_29 
EN3019 4_32_12_94 
EN3020 5_4_5_23 
EN3021 13_10_6_47 
EN3022 11_46_8_35 
EN3023 12_70_9_16 
EN3024 3_1_3_57 
EN3025 3_31_3_67 
EN3026 7_51_15_28 
EN3027 12_32_11_40 
EN3028 11_12_3_70 
EN3029 3_65_14_22 
EN3030 3_27_6_59 
EN3031 10_109_6_66 
EN3032 12_22_8_38 
EN3033 15_24_16_24 
EN3034 1_30_8_53 
EN3035 14_60_14_36 
EN3036 13_27_12_64 
EN3037 7_21_7_12 
EN3038 5_18_5_29 
EN3039 2_66_2_76 
EN3040 4_33_5_27 
EN3041 2_71_2_163 
EN3042 14_55_14_1 
EN3043 1_13_1_4 
EN3044 16_27_8_23 
EN3045 5_18_5_12 
EN3046 14_106_14_68 
EN3047 15_36_2_32 
EN3048 15_6_5_31 
EN3049 5_28_5_13 
EN3050 13_42_6_18 
EN3051 7_73_7_45 
EN3052 2_23_2_122 
EN3053 1_37_3_53 
EN3054 15_31_12_25 
EN3055 2_120_2_53 
EN3056 16_27_16_37 
EN3057 6_124_12_1 
EN3058 10_41_10_72 
EN3059 15_21_15_10 
EN3060 14_46_9_23 
EN3061 16_34_13_27 
EN3062 11_54_11_8 
EN3063 5_14_6_51 
EN3064 4_75_3_43 
EN3065 12_26_12_90 
EN3066 9_30_9_5 
EN3067 9_47_2_155 
EN3068 14_95_14_36 
EN3069 6_79_14_1 
EN3070 16_11_3_34 
EN3071 2_149_2_84 
EN3072 5_39_5_17 
EN3073 6_58_6_94 
EN3074 12_28_12_75 
EN3075 13_33_13_44 
EN3076 4_70_4_6 
EN3077 16_6_13_34 
EN3078 8_19_10_71 
EN3079 5_1_5_38 
EN3080 4_22_5_28 
EN3081 10_7_8_29 
EN3082 3_6_3_65 
EN3083 12_20_13_83 
EN3084 6_20_6_55 
EN3085 13_36_13_39 
EN3086 5_17_5_27 
EN3087 2_91_13_93 
EN3088 12_67_11_19 
EN3089 11_46_3_66 
EN3090 14_7_9_12 
EN3091 2_35_2_42 
EN3092 13_13_13_70 
EN3093 7_22_7_37 
EN3094 16_40_5_27 
EN3095 16_28_5_24 
EN3096 6_98_5_19 
EN3097 11_17_7_61 
EN3098 13_44_13_92 
EN3099 1_39_1_1 
EN3100 10_90_10_33 
EN3101 6_99_4_70 
EN3102 14_91_14_108 
EN3103 1_10_11_35 
EN3104 8_50_6_83 
EN3105 6_89_6_118 
EN3106 10_90_10_118 
EN3107 10_53_12_58 
EN3108 1_22_16_27 
EN3109 1_43_1_24 
EN3110 14_84_14_90 
EN3111 6_106_15_34 
EN3112 7_8_3_63 
EN3113 7_12_7_31 
EN3114 10_13_16_17 
EN3115 8_35_11_32 
EN3116 3_44_4_60 
EN3117 8_31_13_83 
EN3118 11_10_6_41 
EN3119 7_27_6_118 
EN3120 4_64_15_33 
EN3121 16_40_16_3 
EN3122 14_67_10_129 
EN3123 13_66_16_10 
EN3124 7_65_5_25 
EN3125 11_7_13_67 
EN3126 4_2_3_66 
EN3127 15_6_15_18 
EN3128 3_39_3_44 
EN3129 14_32_14_80 
EN3130 4_50_7_52 
EN3131 15_19_1_38 
EN3132 3_43_3_61 
EN3133 1_19_6_113 
EN3134 12_41_12_24 
EN3135 5_11_5_16 
EN3136 13_38_1_25 
EN3137 11_69_9_39 
EN3138 8_42_8_34 
EN3139 11_62_11_66 
EN3140 14_100_11_70 
EN3141 6_123_6_2 
EN3142 3_43_8_24 
EN3143 5_3_5_14 
EN3144 13_64_13_74 
EN3145 3_3_5_29 
EN3146 9_29_2_133 
EN3147 1_12_1_22 
EN3148 13_49_13_59 
EN3149 8_29_10_99 
EN3150 13_17_6_60 
EN3151 11_11_14_30 
EN3152 5_20_5_14 
EN3153 11_9_11_58 
EN3154 6_73_8_43 
EN3155 4_59_4_43 
EN3156 16_4_6_34 
EN3157 16_42_16_16 
EN3158 11_4_1_6 
EN3159 1_36_1_3 
EN3160 9_1_12_18 
EN3161 6_122_11_15 
EN3162 10_26_10_16 
EN3163 5_38_15_23 
EN3164 2_101_3_35 
EN3165 4_72_1_6 
EN3166 12_82_4_10 
EN3167 8_3_5_20 
EN3168 2_93_2_52 
EN3169 14_93_14_68 
EN3170 10_41_5_38 
EN3171 1_24_1_22 
EN3172 1_45_7_53 
EN3173 9_27_5_20 
EN3174 8_17_10_67 
EN3175 14_98_14_96 
EN3176 13_93_3_63 
EN3177 7_17_13_26 
EN3178 2_116_2_114 
EN3179 16_44_16_36 
EN3180 3_37_3_40 
EN3181 5_18_5_13 
EN3182 6_118_6_80 
EN3183 1_45_1_9 
EN3184 9_2_9_5 
EN3185 9_59_9_61 
EN3186 5_27_13_17 
EN3187 16_32_16_22 
EN3188 15_7_15_3 
EN3189 4_64_1_29 
EN3190 5_15_6_90 
EN3191 7_10_10_84 
EN3192 3_69_14_28 
EN3193 12_72_9_53 
EN3194 13_35_9_13 
EN3195 9_52_8_54 
EN3196 12_79_2_110 
EN3197 12_59_5_5 
EN3198 7_73_15_16 
EN3199 1_12_2_34 
EN3200 9_49_4_4 
EN3201 5_19_5_13 
EN3202 1_36_1_39 
EN3203 15_27_15_8 
EN3204 15_13_15_5 
EN3205 11_67_5_28 
EN3206 6_10_15_38 
EN3207 14_77_14_75 
EN3208 8_22_8_11 
EN3209 9_60_2_13 
EN3210 6_34_15_35 
EN3211 15_29_13_95 
EN3212 14_48_1_19 
EN3213 1_14_16_43 
EN3214 5_30_11_74 
EN3215 14_97_14_75 
EN3216 6_38_6_27 
EN3217 2_109_2_68 
EN3218 14_51_14_99 
EN3219 3_45_3_1 
EN3220 11_79_9_54 
EN3221 10_104_11_1 
EN3222 14_69_14_49 
EN3223 7_62_7_77 
EN3224 14_108_15_36 
EN3225 16_5_16_9 
EN3226 6_5_8_50 
EN3227 2_168_7_66 
EN3228 9_56_9_55 
EN3229 5_3_1_9 
EN3230 15_16_2_60 
EN3231 9_28_9_42 
EN3232 5_37_5_35 
EN3233 7_50_7_7 
EN3234 2_142_2_116 
EN3235 13_54_11_71 
EN3236 6_102_4_52 
EN3237 11_34_11_17 
EN3238 2_99_2_26 
EN3239 4_62_4_54 
EN3240 4_24_4_25 
EN3241 16_14_16_43 
EN3242 10_27_3_2 
EN3243 10_8_10_49 
EN3244 7_5_9_37 
EN3245 16_32_16_3 
EN3246 8_18_8_40 
EN3247 6_96_6_91 
EN3248 3_69_3_31 
EN3249 4_40_7_49 
EN3250 16_31_1_42 
EN3251 12_73_9_24 
EN3252 2_154_7_58 
EN3253 7_20_7_3 
EN3254 12_90_12_24 
EN3255 3_53_2_3 
EN3256 3_36_5_11 
EN3257 3_13_3_65 
EN3258 5_28_2_134 
EN3259 14_17_14_97 
EN3260 16_11_13_39 
EN3261 1_3_4_53 
EN3262 11_32_7_65 
EN3263 5_30_5_4 
EN3264 16_19_16_22 
EN3265 10_40_10_98 
EN3266 3_7_3_68 
EN3267 14_72_14_41 
EN3268 16_9_12_41 
EN3269 4_12_4_58 
EN3270 5_7_12_17 
EN3271 5_8_5_19 
EN3272 8_3_8_15 
EN3273 16_26_16_11 
EN3274 5_14_16_23 
EN3275 7_7_7_25 
EN3276 3_62_3_45 
EN3277 13_8_14_106 
EN3278 4_28_4_46 
EN3279 1_25_1_38 
EN3280 16_41_16_33 
EN3281 4_8_15_18 
EN3282 14_97_16_25 
EN3283 7_10_13_46 
EN3284 4_65_5_19 
EN3285 5_1_8_24 
EN3286 10_129_16_6 
EN3287 6_67_6_10 
EN3288 14_65_14_49 
EN3289 16_44_15_11 
EN3290 8_23_12_38 
EN3291 7_48_7_21 
EN3292 1_14_1_48 
EN3293 10_61_10_43 
EN3294 8_7_8_13 
EN3295 14_3_15_6 
EN3296 16_7_14_45 
EN3297 1_48_1_43 
EN3298 1_4_1_23 
EN3299 14_99_6_123 
EN3300 5_31_14_14 
EN3301 7_70_7_51 
EN3302 8_23_7_41 
EN3303 4_14_11_29 
EN3304 11_43_11_38 
EN3305 16_23_16_20 
EN3306 8_24_5_16 
EN3307 9_26_9_10 
EN3308 15_6_7_19 
EN3309 2_154_2_63 
EN3310 15_18_1_36 
EN3311 13_47_13_18 
EN3312 1_7_1_14 
EN3313 15_32_5_18 
EN3314 6_60_6_1 
EN3315 13_73_6_86 
EN3316 5_36_5_13 
EN3317 4_44_4_39 
EN3318 12_20_12_77 
EN3319 16_5_7_32 
EN3320 16_11_16_29 
EN3321 7_33_7_15 
EN3322 15_16_15_36 
EN3323 9_55_9_34 
EN3324 2_155_5_10 
EN3325 5_10_9_40 
EN3326 13_24_12_85 
EN3327 11_29_3_28 
EN3328 8_26_3_3 
EN3329 16_41_5_11 
EN3330 12_38_10_20 
EN3331 6_123_6_33 
EN3332 11_79_11_45 
EN3333 11_65_16_19 
EN3334 9_57_9_9 
EN3335 4_36_4_74 
EN3336 12_65_6_79 
EN3337 10_69_5_37 
EN3338 11_21_11_45 
EN3339 7_31_14_103 
EN3340 2_47_2_166 
EN3341 1_1_1_14 
EN3342 7_63_7_13 
EN3343 7_42_11_39 
EN3344 7_63_4_21 
EN3345 13_61_7_67 
EN3346 8_20_8_50 
EN3347 1_2_1_24 
EN3348 5_28_13_45 
EN3349 12_27_12_90 
EN3350 13_29_13_75 
EN3351 15_20_15_18 
EN3352 3_16_6_51 
EN3353 7_9_16_5 
EN3354 7_45_11_33 
EN3355 5_8_5_29 
EN3356 4_4_4_44 
EN3357 8_61_8_39 
EN3358 14_65_11_7 
EN3359 5_2_16_14 
EN3360 5_30_5_2 
EN3361 10_128_10_82 
EN3362 4_52_13_82 
EN3363 3_46_15_34 
EN3364 1_10_1_12 
EN3365 7_1_7_2 
EN3366 10_93_6_61 
EN3367 16_43_8_57 
EN3368 6_25_8_36 
EN3369 4_15_4_80 
EN3370 15_21_3_46 
EN3371 5_34_1_44 
EN3372 13_72_16_21 
EN3373 4_67_12_35 
EN3374 11_18_11_79 
EN3375 16_40_4_1 
EN3376 11_17_1_34 
EN3377 6_71_4_35 
EN3378 9_22_9_29 
EN3379 5_13_5_38 
EN3380 14_50_16_11 
EN3381 10_82_3_63 
EN3382 5_12_5_16 
EN3383 6_24_6_5 
EN3384 3_37_12_4 
EN3385 16_29_8_44 
EN3386 13_47_13_70 
EN3387 2_166_2_63 
EN3388 1_40_9_30 
EN3389 6_63_6_94 
EN3390 16_3_16_44 
EN3391 2_45_13_63 
EN3392 13_16_14_100 
EN3393 7_44_7_62 
EN3394 8_24_16_20 
EN3395 12_14_11_62 
EN3396 7_39_7_42 
EN3397 14_108_1_13 
EN3398 5_14_5_37 
EN3399 12_72_4_17 
EN3400 1_33_1_17 
EN3401 13_89_10_52 
EN3402 15_7_10_11 
EN3403 5_12_5_22 
EN3404 4_76_10_17 
EN3405 2_65_3_47 
EN3406 4_30_15_30 
EN3407 1_7_1_12 
EN3408 11_28_8_5 
EN3409 2_72_8_22 
EN3410 12_84_5_36 
EN3411 4_80_1_42 
EN3412 11_72_11_77 
EN3413 9_32_9_9 
EN3414 4_28_8_49 
EN3415 12_26_12_67 
EN3416 4_42_4_36 
EN3417 5_24_8_1 
EN3418 11_68_4_52 
EN3419 3_38_2_97 
EN3420 11_50_11_25 
EN3421 12_93_15_35 
EN3422 9_16_1_34 
EN3423 11_21_3_32 
EN3424 14_25_9_41 
EN3425 5_18_5_33 
EN3426 3_48_13_8 
EN3427 10_124_15_11 
EN3428 4_9_16_2 
EN3429 3_26_3_22 
EN3430 14_84_14_79 
EN3431 4_32_8_8 
EN3432 10_112_10_132 
EN3433 4_17_4_54 
EN3434 11_19_9_17 
EN3435 2_31_3_71 
EN3436 16_20_16_34 
EN3437 9_9_9_53 
EN3438 4_64_4_15 
EN3439 4_30_4_28 
EN3440 1_5_1_6 
EN3441 15_21_15_29 
EN3442 3_68_3_57 
EN3443 12_51_2_3 
EN3444 14_69_9_41 
EN3445 11_41_9_51 
EN3446 4_65_4_8 
EN3447 8_34_8_62 
EN3448 9_30_1_29 
EN3449 5_10_9_25 
EN3450 11_27_5_2 
EN3451 6_109_13_83 
EN3452 8_22_8_21 
EN3453 4_44_12_96 
EN3454 1_10_1_39 
EN3455 6_98_6_128 
EN3456 3_24_7_62 
EN3457 2_103_10_19 
EN3458 10_61_10_98 
EN3459 2_124_2_164 
EN3460 7_67_7_33 
EN3461 2_17_1_21 
EN3462 6_100_8_33 
EN3463 2_42_2_95 
EN3464 14_71_14_7 
EN3465 13_57_13_85 
EN3466 6_125_6_53 
EN3467 16_2_16_7 
EN3468 13_28_14_13 
EN3469 3_5_12_45 
EN3470 12_53_12_98 
EN3471 9_28_7_18 
EN3472 11_22_14_43 
EN3473 15_7_15_14 
EN3474 2_50_2_48 
EN3475 8_54_9_4 
EN3476 15_8_3_58 
EN3477 4_2_13_34 
EN3478 6_95_6_29 
EN3479 1_22_4_62 
EN3480 11_59_11_16 
